Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOPSO,mopso,area_s5_t100,mopso,13,695.0,0.4,1795.6601509333314,,695.0,0.6324555320336759,1973.906706000003,,100,0,13,13,1.0,164.08985070000006,,,,,,,,,642,2832,{}
2,comparison,MOPSO,mopso,area_s5_t100,mopso,15,695.0,0.0,1677.5305447594124,,695.0,0.0,1960.392250699991,,100,0,15,15,1.0,164.3824899,,,,,,,,,642,2832,{}
3,comparison,MOPSO,mopso,area_s5_t100,mopso,7,695.0,0.0,1882.5331330999902,,695.0,0.6324555320336759,2102.321369633327,,100,2,7,7,1.0,163.5291466,,,,,,,,,642,2832,{}
4,comparison,MOPSO,mopso,area_s5_t100,mopso,11,695.0,0.0,1733.3895554275234,,695.0,0.0,1971.8103480608602,,100,0,11,11,1.0,165.76660259999994,,,,,,,,,642,2832,{}
5,comparison,MOPSO,mopso,area_s5_t100,mopso,12,695.0,0.0,1721.2686443260775,,695.0,0.6324555320336759,1859.5223935927495,,100,1,12,12,1.0,166.4199254,,,,,,,,,642,2832,{}
6,comparison,MOPSO,mopso,area_s5_t100,mopso,12,695.0,0.0,1670.3183484666745,,695.0,0.6324555320336759,1803.8696773000013,,100,1,12,12,1.0,166.97575830000005,,,,,,,,,642,2832,{}
7,comparison,MOPSO,mopso,area_s5_t100,mopso,18,695.0,0.0,1894.8475162000054,,695.0,0.0,2443.3406736666693,,100,0,18,18,1.0,168.2430021,,,,,,,,,642,2832,{}
8,comparison,MOPSO,mopso,area_s5_t100,mopso,11,695.0,0.0,1726.590754400003,,695.0,0.0,1868.394993233334,,100,0,11,11,1.0,172.71150550000004,,,,,,,,,642,2832,{}
9,comparison,MOPSO,mopso,area_s5_t100,mopso,14,695.0,0.0,1675.3780968000074,,695.0,0.0,1860.2707957000043,,100,5,14,14,1.0,85.61741869999992,,,,,,,,,642,2832,{}
10,comparison,MOPSO,mopso,area_s5_t100,mopso,25,695.0,0.0,1743.4366922594177,,695.0,1.2649110640673518,2014.9824460927402,,100,7,25,25,1.0,84.8188396999999,,,,,,,,,642,2832,{}
Average,comparison,MOPSO,mopso,area_s5_t100,mopso,13.8,695.0,0.04,1752.0953436672444,,695.0,0.37947331922020555,1985.881165397968,,100.0,,13.8,13.8,1.0,150.25545395,,,,,,,,,642.0,2832.0,{}
Std,comparison,MOPSO,mopso,area_s5_t100,mopso,4.621688003316537,0.0,0.12000000000000001,77.10295874866074,,0.0,0.41952353926806063,174.1669183266717,,0.0,,4.621688003316537,4.621688003316537,0.0,32.61358806868842,,,,,,,,,0.0,0.0,{}
