Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,CG-MOACO,area_s5_t100,15,0.0,790.5808426335201,0.4,1.0,215.55601560000014,701,4898
2,CG-MOACO,area_s5_t100,16,0.0,759.6698387658522,0.0,1.0,224.46450829999958,701,4898
3,CG-MOACO,area_s5_t100,24,0.0,786.3521591229301,0.0,1.0,226.22557619999952,701,4898
4,CG-MOACO,area_s5_t100,13,0.0,772.0609301385414,0.0,1.0,233.32484160000058,701,4898
5,CG-MOACO,area_s5_t100,19,0.0,770.2684661651116,0.4,1.0,234.54679419999957,701,4898
6,CG-MOACO,area_s5_t100,23,0.0,769.8050618132268,0.0,1.0,234.17329900000004,701,4898
7,CG-MOACO,area_s5_t100,29,0.0,770.4606110724105,0.0,1.0,236.92010240000036,701,4898
8,CG-MOACO,area_s5_t100,18,0.0,771.3371064772277,0.0,1.0,234.33512429999973,701,4898
9,CG-MOACO,area_s5_t100,20,0.0,773.0877024692195,0.0,1.0,237.5205530000003,701,4898
10,CG-MOACO,area_s5_t100,16,0.0,758.138471220027,0.0,1.0,236.17887359999986,701,4898
Average,CG-MOACO,area_s5_t100,19.3,0.0,772.1761189878067,0.08,1.0,231.32456881999997,701.0,4898.0
Std,CG-MOACO,area_s5_t100,4.605431575867782,0.0,9.523175835625159,0.16,0.0,6.682323347161786,0.0,0.0
